"ID","adj.P.Val","P.Value","t","B","logFC","SPOT_ID","SPOT_ID.1"
"TC0500008732.hg.1",0.418,0.151,1.485857,-5.81628,0.1948087,"Multiple_Complex","Multiple_Complex"
"TC1000010651.hg.1",0.418,0.151,-1.485458,-5.81684,-0.2603294,"Coding","Coding"
"TC0200013075.hg.1",0.418,0.151,1.485413,-5.81691,0.3090869,"Multiple_Complex","Multiple_Complex"
"TC0Y00006775.hg.1",0.418,0.151,-1.485401,-5.81692,-0.2288637,"Multiple_Complex","Multiple_Complex"
"TC1900011947.hg.1",0.418,0.151,-1.485182,-5.81723,-0.4958794,"Multiple_Complex","Multiple_Complex"
"TC1900006890.hg.1",0.418,0.151,1.484975,-5.81752,0.2391437,"Multiple_Complex","Multiple_Complex"
"TC0300007472.hg.1",0.418,0.151,1.484939,-5.81757,0.3585262,"Multiple_Complex","Multiple_Complex"
"TC0400008924.hg.1",0.419,0.152,-1.484642,-5.81798,-0.3717544,"Unassigned","Unassigned"
"TC0500008467.hg.1",0.419,0.152,-1.484573,-5.81808,-0.2275813,"Multiple_Complex","Multiple_Complex"
"TSUnmapped00000295.hg.1",0.419,0.152,-1.48446,-5.81824,-0.2121375,"Coding","Coding"
"TSUnmapped00000409.hg.1",0.419,0.152,-1.484367,-5.81837,-0.2479369,"NonCoding","NonCoding"
"TC1600009967.hg.1",0.419,0.152,1.484349,-5.81839,0.2998769,"Coding","Coding"
"HTA2-pos-3660276_st",0.419,0.152,1.483942,-5.81896,0.1771937,"---","---"
"TC1900011806.hg.1",0.419,0.152,-1.483833,-5.81911,-0.2752394,"NonCoding","NonCoding"
"TC0100010586.hg.1",0.419,0.152,1.48377,-5.8192,0.2903625,"Multiple_Complex","Multiple_Complex"
"TC1600009486.hg.1",0.419,0.152,1.483738,-5.81924,0.27629,"Multiple_Complex","Multiple_Complex"
"TC0100015947.hg.1",0.419,0.152,-1.483665,-5.81935,-0.179925,"NonCoding","NonCoding"
"HTA2-pos-3615318_st",0.419,0.152,1.483339,-5.8198,0.3668869,"---","---"
"TC0200014610.hg.1",0.419,0.152,-1.483139,-5.82008,-0.3464325,"Multiple_Complex","Multiple_Complex"
"TC0500008431.hg.1",0.419,0.152,-1.482744,-5.82063,-0.4958438,"Multiple_Complex","Multiple_Complex"
"TC0200016581.hg.1",0.419,0.152,-1.482738,-5.82064,-0.5243563,"Multiple_Complex","Multiple_Complex"
"TC1000009472.hg.1",0.419,0.152,-1.4824,-5.82111,-0.3393375,"Multiple_Complex","Multiple_Complex"
"HTA2-pos-PSR04018312.hg.1",0.419,0.152,-1.482358,-5.82117,-0.1988937,"---","---"
"TC0200009902.hg.1",0.419,0.152,1.482349,-5.82118,0.8863362,"Multiple_Complex","Multiple_Complex"
"TC1600010858.hg.1",0.42,0.152,-1.482211,-5.82138,-0.2635688,"Multiple_Complex","Multiple_Complex"
"TC1900009867.hg.1",0.42,0.152,1.482113,-5.82151,0.2958688,"Multiple_Complex","Multiple_Complex"
"TC0100006695.hg.1",0.42,0.152,1.481877,-5.82184,0.3248269,"Coding","Coding"
"ERCCmix1step2",0.42,0.152,-1.481747,-5.82202,-0.3088112,"---","---"
"ERCCmix2step1",0.42,0.152,-1.481747,-5.82202,-0.3088112,"---","---"
"TC0500012405.hg.1",0.42,0.152,-1.481667,-5.82214,-0.537245,"Multiple_Complex","Multiple_Complex"
"HTA2-pos-PSR12005954.hg.1",0.42,0.152,1.481603,-5.82222,0.3313563,"---","---"
"TC0300013829.hg.1",0.42,0.152,1.481122,-5.8229,0.47675,"Multiple_Complex","Multiple_Complex"
"TSUnmapped00000591.hg.1",0.42,0.153,-1.480984,-5.82309,-0.33452,"Coding","Coding"
"TC0900009970.hg.1",0.42,0.153,1.480931,-5.82316,0.26566,"Pseudogene","Pseudogene"
"TC1300006676.hg.1",0.42,0.153,-1.480633,-5.82358,-0.5035175,"Multiple_Complex","Multiple_Complex"
"HTA2-pos-PSR11008183.hg.1",0.42,0.153,-1.480611,-5.82361,-0.598015,"---","---"
"TC1100011451.hg.1",0.42,0.153,-1.480457,-5.82382,-0.2685662,"Multiple_Complex","Multiple_Complex"
"HTA2-neg-47420802_st",0.42,0.153,-1.480395,-5.82391,-0.6828056,"---","---"
"TC0300014066.hg.1",0.42,0.153,1.480325,-5.82401,0.41346,"NonCoding","NonCoding"
"TC0400007839.hg.1",0.42,0.153,1.480069,-5.82436,0.3067088,"Coding","Coding"
"TC1100012009.hg.1",0.42,0.153,1.479864,-5.82465,0.4394969,"NonCoding","NonCoding"
"TC0200010911.hg.1",0.42,0.153,-1.479795,-5.82474,-0.2889319,"Multiple_Complex","Multiple_Complex"
"TC1200010562.hg.1",0.42,0.153,1.479711,-5.82486,0.2694706,"Multiple_Complex","Multiple_Complex"
"TC0300008332.hg.1",0.42,0.153,-1.479649,-5.82495,-0.2385706,"Coding","Coding"
"TC0100012846.hg.1",0.42,0.153,1.479613,-5.825,0.3305125,"Multiple_Complex","Multiple_Complex"
"TC2000010027.hg.1",0.42,0.153,-1.479564,-5.82507,-0.362675,"Multiple_Complex","Multiple_Complex"
"TC1300006699.hg.1",0.42,0.153,-1.479563,-5.82507,-0.1934131,"Multiple_Complex","Multiple_Complex"
"TC0900008484.hg.1",0.42,0.153,-1.479478,-5.82519,-0.2371875,"Multiple_Complex","Multiple_Complex"
